Geschichte;Ge·schich·te <-, -n> [gəˈʃɪçtə] SUBST f;2
Gesetz;Ge·setz <-es, -e> [gəˈzɛts] SUBST nt;2
Gesicht;Ge·sicht1 <-[e]s, -er> [gəˈzɪçt] SUBST nt;2
Gespräch;Ge·spräch <-[e]s, -e> [gəˈʃprɛ:ç] SUBST nt;2
Gestalt;Ge·stalt <-, -en> [gəˈʃtalt] SUBST f;2
Gestell;Ge·stell <-[e]s, -e> [gəˈʃtɛl] SUBST nt;2
Getränk;Ge·tränk <-[e]s, -e> [gəˈtrɛŋk] SUBST nt;2
Gewalt;Ge·walt <-, -en> [gəˈvalt] SUBST f;2
Gewicht;Ge·wicht <-[e]s, -e> [gəˈvɪçt] SUBST nt;2
Gewinn;Ge·winn <-[e]s, -e> [gəˈvɪn] SUBST m;2
Gewitter;Ge·wit·ter <-s, -> [gəˈvɪtɐ] SUBST nt;2
Gipfel;Gip·fel <-s, -> [ˈgɪpfl̩] SUBST m;1
Glas;Glas <-es, Gläser> [gla:s, Pl ˈglɛ:zɐ] SUBST nt;1
